Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Year 
South Florida Flooding (October 2000),Flooding,10/3/2000,10/4/2000,1332,3,2000
Western Fire Season (Spring-Summer 2000),Wildfire,3/1/2000,8/31/2000,1591,0,2000
Hurricane Floyd (September 1999),Tropical Cyclone,9/14/1999,9/16/1999,9866.2,77,1999
Eastern Drought/Heatwave (Summer 1999),Drought,6/1/1999,8/31/1999,3798.3,502,1999
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,5/3/1999,5/6/1999,3058.4,55,1999
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1/13/1999,1/16/1999,1340.6,0,1999
Central and Eastern Winter Storm (January 1999),Winter Storm,1/1/1999,1/4/1999,1569.3,25,1999
California Freeze (December 1998),Freeze,12/20/1998,12/28/1998,3850,0,1998
Texas Flooding (October 1998),Flooding,10/16/1998,10/24/1998,1450.8,31,1998
Hurricane Georges (September 1998),Tropical Cyclone,9/20/1998,9/29/1998,9216.1,16,1998
Southern Drought/Heat Wave (Summer 1998),Drought,6/1/1998,8/31/1998,5433.2,200,1998
Hurricane Bonnie (August 1998),Tropical Cyclone,8/27/1998,8/29/1998,1509.2,3,1998
Tropical Storm Frances (September 1998),Tropical Cyclone,8/8/1998,8/13/1998,1078,2,1998
"Severe Storms, Tornadoes (June 1998)",Severe Storm,5/30/1998,6/2/1998,1752.9,20,1998
Minnesota Severe Storms/Hail (May 1998),Severe Storm,5/15/1998,5/15/1998,2512.1,1,1998
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,12/1/1997,2/28/1998,1567,132,1997
Northeast Ice Storm (January 1998),Winter Storm,1/5/1998,1/9/1998,2158.6,16,1998
Northern Plains Flooding (Spring 1997),Flooding,2/3/1997,5/24/1997,5735.3,11,1997
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,2/28/1997,3/5/1997,1524.9,67,1997
West Coast Flooding (December 1996-January 1997),Flooding,1/1/1997,1/11/1997,4706.6,36,1997
Hurricane Fran (September 1996),Tropical Cyclone,9/5/1996,9/8/1996,8061.4,37,1996
Southern Plains Drought (Spring-Summer 1996),Drought,3/1/1996,8/31/1996,2884.3,0,1996
Pacific Northwest Severe Flooding (February 1996),Flooding,2/7/1996,2/12/1996,1623.4,9,1996
Blizzard/Floods (January 1996),Winter Storm,1/1/1996,1/31/1996,4834.8,187,1996
Hurricane Opal (October 1995),Tropical Cyclone,10/4/1995,10/6/1995,7783.8,27,1995
Hurricane Marilyn (September 1995),Tropical Cyclone,9/15/1995,9/17/1995,3486,13,1995
Hurricane Erin (August 1995),Tropical Cyclone,8/1/1995,8/7/1995,1411,6,1995
South Plains Severe Weather (May 1995),Severe Storm,5/5/1995,5/7/1995,9107.5,32,1995
California Flooding (January-March 1995),Flooding,1/1/1995,3/31/1995,4150,27,1995
Western Fire Season (Summer-Fall 1994),Wildfire,6/1/1994,11/30/1994,1232.5,0,1994
Texas Flooding (October 1994),Flooding,10/16/1994,10/25/1994,1700,19,1994
Tropical Storm Alberto (July 1994),Tropical Cyclone,7/7/1994,7/10/1994,1697.5,32,1994
Midwest/Plains Tornadoes (April 1994),Severe Storm,4/25/1994,4/27/1994,1674.5,3,1994
Southeast Ice Storm (February 1994),Winter Storm,2/8/1994,2/13/1994,5096.1,9,1994
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1/17/1994,1/20/1994,1768.5,70,1994
California Wildfires (Fall 1993),Wildfire,9/1/1993,11/30/1993,2400.1,4,1993
Southeast Drought/Heat Wave (Summer 1993),Drought,6/1/1993,8/31/1993,2201.5,16,1993
Midwest Flooding (Summer 1993),Flooding,6/27/1993,8/15/1993,36681.6,48,1993
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,3/11/1993,3/14/1993,9672.5,270,1993
Northeast Winter Storm (December 1992),Winter Storm,12/10/1992,12/13/1992,4469.4,19,1992
Southeast Severe Weather (November 1992),Severe Storm,11/21/1992,11/23/1992,1182.6,26,1992
Hurricane Iniki (September 1992),Tropical Cyclone,9/11/1992,9/12/1992,5580,7,1992
Hurricane Andrew (August 1992),Tropical Cyclone,8/23/1992,8/27/1992,48600,61,1992
"Severe Storms, Hail (June 1992)",Severe Storm,6/19/1992,6/20/1992,1346.5,0,1992
